Following;	my: 1, 
my;	rediscovery: 1, old: 1, dungeon: 2, interactions: 1, save: 1, guys: 1, sound: 1, own.: 1, own: 5, existing: 1, on: 1, Leaf: 2, Nexus: 3, audiobooks,: 1, blue: 2, phone,: 1, bluetooth,: 1, general: 1, mileage: 1, dashboard: 1, case: 1, Google: 4, results: 1, Rails: 1, case,: 1, contacts: 1, friends: 2, Mac: 1, other: 2, part.: 1, whole: 2, dungeon.: 1, favorites: 1, main: 1, first: 2, inexperience: 1, last: 1, average: 1, word,: 1, script: 1, next: 1, stats: 1, raw: 1, data: 1, Timeline.: 1, childhood,: 1, early: 1, beloved: 1, skates.: 1, female: 1, gratitude”: 1, Altmer: 1, favorite: 1, darndest: 1, goal: 1, backpacking: 1, Dragonborn: 1, error).: 1, tiny: 1, alt: 1, homestead: 1, Steward: 1, steward: 1, mind: 1, steward,: 1, Falkreath: 1, hand: 1, siblings: 1, heart: 2, PC: 1, directory: 1, work.: 1, bike,: 1, work: 2, shoelaces: 1, bike: 1, tire: 1, sympathy: 1, journey: 1, mother: 3, hands”: 1, all: 1, headphones: 1, eye.: 1, trip: 1, lactic: 1, taste: 1, third: 1, sauerkraut: 1, bacterial: 1, kitchen: 1, fermentation: 2, results,: 1, 2013: 2, life.: 1, character: 3, back,: 1, disappointment: 1, 
rediscovery;	of: 1, 
of;	my: 10, Gold: 1, the: 81, their: 1, battle,: 1, it: 3, course: 7, them: 8, cultists: 1, embarrassed: 1, a: 12, an: 3, your: 5, everything,: 1, use: 1, rating: 1, fun,: 3, charge: 3, sense.: 1, love,: 1, juice: 1, things: 1, which: 2, course,: 5, what: 1, fun: 4, this: 2, 10: 1, ~1,000,000: 1, noise: 1, 3.37: 1, 1.86: 1, 19.12: 1, time: 2, me: 3, using: 1, markers,: 1, latitudes: 1, randomly: 1, manually: 1, Gode: 1, explicit: 1, how: 3, me.: 1, bioinformatic: 1, 8: 1, traversing: 1, getting: 1, Wrath: 1, tweaking: 1, Windows: 1, gameplay,: 1, Googling,: 1, them.: 2, shapefiles: 1, San: 1, vector: 1, hours: 1, mine: 1, lat,: 1, movement,: 1, 1,048,575: 1, 7: 1, meaning: 1, vehicle,: 1, I’ve: 1, each: 2, “activities,”: 1, multiple: 1, Google: 1, Fine: 1, crap: 1, funny: 2, it.: 2, people: 6, Bear: 1, steep: 1, him,: 1, you!: 1, bug: 1, affection!: 1, curds: 1, vague: 1, opportunity,: 1, nowhere,: 1, nowhere: 1, hormones: 1, Talos.: 1, mold!: 1, drying: 1, mold,”: 1, mold.”: 1, Morrowind: 1, The: 1, Morrowind.: 1, his: 1, moving: 1, get: 1, like: 1, am).: 1, some: 1, cheddar.: 1, bacteria: 1, Hell”: 1, homemade: 1, one: 1, fun.: 3, burrata,: 1, fresh: 1, being: 2, yet,: 1, embarrassing.: 1, shot: 1, all: 1, death: 1, Turkey: 1, fighting: 1, sauerkraut!: 1, those: 1, dead: 2, “rain”: 1, kite: 1, spooky: 1, Highway: 1, Henhouse: 1, sauerkraut: 2, Honor: 1, going: 1, throwies: 1, interactive: 1, people,: 2, other: 2, super: 1, flowers: 1, this,: 1, identical-looking: 1, sake: 1, pepper: 1, vinegary.: 1, spices,: 1, wanted: 1, these: 1, trouble: 1, emotion: 1, sex: 1, another: 1, brunch.: 1, course): 1, life,: 1, pages,: 1, duds: 1, cabbage,: 1, 1:10: 1, that: 1, Kraut: 1, beige: 1, flavor: 1, eating: 1, trail: 1, creepy: 1, cabbage: 1, Brussels: 1, fermentation: 1, not-finished: 1, already-made-yogurt: 1, fermenting: 1, inhibiting: 1, many: 1, spoilage,: 1, spoilage.: 1, metals: 1, explosion.: 1, oxygen: 1, facultative: 1, loading: 1, nice: 1, course).: 1, beauty,: 1, our: 3, finally: 1, ribs: 1, 
old;	obsession: 1, Haversine: 1, abandonware: 1, problems: 1, post!: 1, Windows: 1, cabbage.: 1, culture.: 1, culture: 1, culture,: 1, gaming: 1, 
obsession;	with: 1, 
with;	Dungeon: 2, the: 23, a: 10, evil: 1, all: 5, it): 1, any: 1, my: 4, them.: 1, that: 2, this: 3, Google’s: 2, it,: 2, Medieval: 1, some: 1, one: 1, what: 1, Basemap: 1, gems: 1, MPD,: 1, Maidens: 1, trying: 1, Shapefiles.: 1, WGS84: 1, GIS: 1, activity,: 1, them: 2, no: 2, latitudes: 1, associated: 1, lat/long: 1, Heiðrún: 1, skating,: 1, Doc: 2, Nelacar.: 1, higher: 1, it!: 1, Iceland: 1, feeling: 1, covering: 1, cheese: 1, that.: 2, being: 1, characters: 1, every: 1, her.: 1, you…: 1, ice: 1, orange: 1, cheddar: 1, Doc.: 2, Wine”: 1, grabbers: 1, how: 1, enough: 1, wings.: 1, Truckr.: 1, photos: 1, 6: 1, Ancient: 1, lots: 1, “Set”: 1, something?: 1, and: 1, Doc,: 1, going: 1, vanilla: 1, putting: 1, it.: 1, Vorstag: 1, fun: 1, its: 2, five: 1, coleslaw: 1, coleslaw,: 1, an: 1, 
Dungeon;	Keeper: 3, 
Keeper;	II,: 2, II: 1, 
II,;	I: 1, and: 1, 
I;	decided: 12, immediately: 4, feel: 6, was: 43, call: 1, like.: 1, like: 4, also: 15, took: 5, ended: 3, appropriately: 1, am: 14, possess: 1, would: 14, frequently: 1, understand: 3, can: 11, pretty: 1, need: 2, have: 29, take: 1, really: 6, can’t: 6, wish: 2, had: 43, only: 5, felt: 3, actually: 4, think: 13, finished: 1, couldn’t: 9, just: 9, finished!: 1, don’t: 11, thought: 13, finally: 8, needed: 1, picked: 1, discovered: 3, lost: 4, found: 7, use: 1, could: 8, let: 1, go: 3, get: 4, said,: 1, haven’t: 9, road: 1, learned: 2, filled: 1, installed: 1, saw: 6, will: 11, still: 8, got: 16, futzed: 1, imagine: 1, do!: 1, wrote: 3, knew: 1, wanted: 9, find: 2, put: 2, made: 5, stumbled: 1, didn’t: 15, cared: 1, am.: 1, do: 5, wonder!: 1, already: 1, cannot: 3, always: 2, came: 2, hadn’t: 4, figured: 6, used: 3, first: 2, then: 3, figure,: 1, looked: 5, recall: 1, figured,: 2, wouldn’t: 3, bought: 2, played: 1, might: 1, almost: 1, did: 14, ran: 1, know: 5, hit: 1, researched: 1, even: 5, wanted,: 1, went: 10, spent: 2, want: 3, started: 6, spend: 2, should: 3, usually: 2, downloaded: 1, guess: 9, probably: 2, realize,: 1, come: 1, really,: 2, loved: 1, remember: 1, did,: 1, must: 2, mean,: 5, hiked: 1, rolled: 3, mentioned: 1, barely: 1, handled: 1, suppose: 3, can!”: 1, wonder: 1, melt.: 1, liked: 2, never: 1, drew: 1, interpreted: 1, unwrapped: 2, hoped: 1, steeled: 1, the: 1, married: 1, kind: 2, assumed: 1, sent: 1, adopt: 1, guess.: 2, woke: 1, yelped: 1, told: 2, followed: 1, wish…: 1, tried: 2, exited,: 1, invented: 1, shall: 1, believe:: 1, said: 1, mostly: 2, wasn’t: 2, charged: 1, upgrade: 1, pulled: 1, had,: 1, refused: 2, discover: 1, set: 2, hated: 1, later: 1, noticed: 2, ever: 2, began: 1, quickly: 1, easily: 1, killed: 1, recently: 1, successfully: 1, termed: 1, encounter: 1, start: 1, biked: 1, do,: 1, helped: 1, briefly: 1, there: 1, love: 2, guess?: 1, cracked: 1, were: 1, ate: 1, read: 3, fell: 1, end: 1, paid: 1, named: 1, shared: 1, embarked: 1, left: 1, dubbed: 1, opened: 2, kept: 1, tasted: 1, flavored: 1, sealed: 1, managed: 1, believe.: 1, accidentally: 1, caused: 1, gave: 1, slow: 1, tore: 1, enjoyed: 1, served: 1, 
